source,path,file_ok,sheet,n_rows,n_cols,colonnes,statut
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,00_README,35,2,Dataset consolidé : Fréquentation des chemins de Compostelle en France 2018-2024 | Unnamed: 1,· exclu
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,02_metadonnees_sources,7,10,source_id | fichier_pdf | type_document | annees_couvertes | granularite_temporelle | annee_reference | fiabilite_globale | voies_couvertes | nb_pages | remarques,· exclu
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,04_voies_nomenclature,10,10,voie_id | route_afcc_raw | route_latin | route_gr_code | depart_principal | arrivee_principale | longueur_km_approx | passe_par_sjpp | passe_par_somport | remarques,✓
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,03_points_mesure,24,9,point_id | nom | departement | voie_id | type_source | fiabilite | premiere_annee_dispo | derniere_annee_dispo | remarques,✓
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,01_data_long,107,14,obs_id | year | month | granularite | point_id | voie_id | type_source | valeur | unite | evolution_pct | source_id | page_pdf | fiabilite | commentaire,✓
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,05_inventaire_trous,8,11,voie_id | voie_nom | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | taux_completude | criticite,· exclu
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,06_reconciliation,5,12,cas_id | objet | annee | valeur_A | source_A | valeur_B | source_B | ecart | ecart_pct | interpretation | valeur_retenue | justification,· exclu
flux_principal,data\processed\afcc_dataset_compostelle_2018_2024.xlsx,True,07_sources_externes,43,2,GUIDE D'ACQUISITION DES SOURCES EXTERNES | Unnamed: 1,· exclu
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,00_NOTICE,18,1,Dataset comportemental — AFCC Synthèse Enquête 2021 sur les publics des Chemins de Compostelle,· exclu
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,00_biais_caveats,13,6,Biais et limites de l'enquête AFCC Synthèse 2021 — exhaustif | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,· exclu
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,01_parametres_flux,30,9,Paramètres comportementaux pour le modèle à compartiments — AFCC Synthèse 2021 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8,✓
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,02_voies_distribution,18,10,Répartition des répondants par voie empruntée — clé de pondération inter-voies | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9,✓
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,03_departements_cartes,35,6,% de répondants traversant chaque département lors de leur cheminement | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,· exclu
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,04_saisonnalite,12,6,Saisonnalité des cheminements — AFCC Synthèse 2021 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,✓
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,05_profil_typologies,40,6,Profil socio-démographique et typologies comportementales — AFCC Synthèse 2021 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,✓
afcc_comportemental,data\processed\afcc_synthese_comportemental.xlsx,True,06_satisfaction_eco,42,6,Notes de satisfaction /4 et formule d'impact économique — AFCC Synthèse 2021 | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,✓
sjpp_flux,data\processed\template_SJPP_saisie.xlsx,True,00_NOTICE,62,1,Template de saisie — Données SJPP (compostelle.fr),· exclu
sjpp_flux,data\processed\template_SJPP_saisie.xlsx,True,01_saisie,303,11,obs_id | annee | mois | dimension | categorie | valeur | unite | source | page | fiabilite | commentaire,✓
sjpp_flux,data\processed\template_SJPP_saisie.xlsx,True,02_nomenclature,42,4,Nomenclature des dimensions et catégories | Unnamed: 1 | Unnamed: 2 | Unnamed: 3,· exclu
sjpp_flux,data\processed\template_SJPP_saisie.xlsx,True,03_controle,37,5,Contrôles automatiques sur la saisie | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4,· exclu
sjpp_flux,data\processed\template_SJPP_saisie.xlsx,True,04_references,12,3,Totaux annuels AFCC (pour contrôle croisé) | Unnamed: 1 | Unnamed: 2,· exclu
lot_comportemental,data\processed\lot_focus_dataset.xlsx,True,00_NOTICE,8,1,Focus cheminants Lot Tourisme / ACIR,· exclu
lot_comportemental,data\processed\lot_focus_dataset.xlsx,True,01_data,141,14,obs_id | source | producteur | annee_enquete | annee_publication | perimetre | dimension | categorie | valeur | unite | type_donnee | page | fiabilite | commentaire,✓
lot_comportemental,data\processed\lot_focus_dataset.xlsx,True,02_cartes_duree_voie,8,6,Synthèse des 4 cartes : traversée du Lot selon durée de séjour (lecture visuelle) | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,✓
lot_comportemental,data\processed\lot_focus_dataset.xlsx,True,03_synthese_lot_vs_total,21,6,Tableau comparatif Lot vs Total — indicateurs clés | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5,✓
lot_comportemental,data\processed\lot_focus_dataset.xlsx,True,04_modele_compartiments,12,4,Signaux exploitables pour le modèle à compartiments | Unnamed: 1 | Unnamed: 2 | Unnamed: 3,✓
lot_ecocompteurs,data\processed\bilan_rando_lot_2024.xlsx,True,00_NOTICE,12,1,Dataset — Bilan Fréquentation GR & Voies Vertes Lot 2024,· exclu
