parametre_id,nom,valeur,unite,page_pdf,fiabilite,pertinence_modele,commentaire,biais_ref,_source_key,_source_sheet,voie_id_dataset,nom_afcc,code_gr,pct_repondants,n_estime,passe_sjpp,passe_somport,longueur_km,pertinence_projet,notes,mois_num,mois,pct_repondants_actifs,signal_modele,dimension,categorie,valeur_pct,base_n_estime,notes_modele,theme,critere,note_sur_4,norme,comparaison_lot_focus,obs_id,source,producteur,annee_enquete,annee_publication,perimetre,type_donnee,page,Durée,Voie du Puy,Via Turonensis (Tours),Via Lemovicensis (Vézelay),Lot (dpt 46) — tranche estimée,Implication modèle à compartiments,Thème,Indicateur,Lot,Total / Voie Puy,Écart,Lecture analytique,Signal,Donnée source,Implication pour le modèle,Priorité,point_id_projet,lieu,departement,voie_id,valeur_2016,type_source_carte,lien_dataset_principal,comparaison_afcc_2021,valeur_2018,valeur_2017,n_estime_2018,indicateur,comparaison_sources,implication_modele
P01,N total répondants,3565,répondants,2,ÉLEVÉE,RÉFÉRENCE,"3,640 récoltés, 3,565 conservés après filtrage (hors France ou avant 2019, aberrants)",,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,N points de diffusion,500,sites,1,ÉLEVÉE,INFO,500 points terrain + réseaux sociaux. Couverture nationale.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,Période enquête terrain,mai-novembre 2021,,1,INFO,CAVEAT,Sous-représentation printemps. Année jacquaire 2021.,"B01,B02",afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,Distance quotidienne moyenne,25.7,km/jour,10,ÉLEVÉE,CRITIQUE — modèle compartiments,Permet de calculer le nb d'étapes dans une zone : ex. Lot (Felzins→Labastide-Marnhac ≈ 170 km) = 170/25.7 ≈ 6.6 étapes ≈ 6-7 nuits,B04,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,Durée totale moyenne du cheminement,27.8,jours,10,ÉLEVÉE,CRITIQUE — paramètre T de F×T×D,Moyenne toutes voies. Via Puy calculé : 755/25.7 ≈ 29.4j. Utiliser durée par voie pour le modèle.,B06,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,Durée estimée via Podiensis,29.4,jours,10,CALCULÉE,CRITIQUE,Calculé : 755 km / 25.7 km/j = 29.4 jours. Valeur à utiliser pour modèle centré GR65.,B06,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,Mode déplacement — à pied,97,pourcentage,13,ÉLEVÉE,CONFIRMATION,Marginalise le vélo dans le modèle. 3% vélo non-modélisable séparément avec données actuelles.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,Cheminement en autonomie totale,75,pourcentage,13,ÉLEVÉE,INFO,3/4 des pèlerins sans service payant. 14% portage bagages. 9% navettes.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,Part primo-cheminants,51,pourcentage,12,ÉLEVÉE,CRITIQUE — modèle compartiments,1 cheminant sur 2 fait le chemin pour la 1ère fois. 37% ont déjà fait 2-5 fois. 12% 5+ fois.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,Part multi-cheminants (2-5 fois),37,pourcentage,12,ÉLEVÉE,CRITIQUE,Ces 37% sont les 'flux de retour'. Ils reviennent d'une année sur l'autre reprendre là où ils s'étaient arrêtés.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
